Stand,Cover,C.kg.m2.100,C.kg.m2.SE.100,n.100,C.kg.m2.500,C.kg.m2.SE.500,n.500,C.kg.m2.1000,C.kg.m2.SE.1000,n.1000
Transformed,Open,0.07,0.02,5,0.05,0.02,5,0.03,0.01,5
K5,Open,0.14,0.07,5,0.05,0.01,5,0.305,0.02,4
K7,Open,0.05,0.01,5,0.07,0.02,5,0.02,NA,2
K13,Open,0.08,0.01,5,0.016,0.06,5,0.06,0.03,5
K27,Open,0.30,0.14,5,0.32,0.15,5,0.02,NA,1
K5,Canopy,0.24,0.06,5,0.13,0.08,5,0.06,0.05,5
K7,Canopy,0.19,0.04,5,0.07,0.02,5,0.01,0.00,5
K13,Canopy,0.54,0.26,5,0.12,0.02,5,0.05,0.01,5
K27R,Canopy,0.94,0.37,5,0.60,0.19,5,0.12,0.03,5
K27,Canopy,0.26,0.08,5,0.33,0.09,5,0.36,0.17,3
